0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
-1.8126453371754632E-60,-1.2687471527438718E-60,-7.568931119137395E-61,-2.8456792359183432E-61,1.4240664215661987E-61,5.198154360255724E-61,8.449652964334583E-61,1.1165770007506257E-60,1.3346586684017302E-60,1.500365350923182E-60,1.6158493244284972E-60,1.6841053074096452E-60,1.7088144755936774E-60,1.6941907496046063E-60,1.6448324038171613E-60,1.565581598615341E-60,1.4613939849007163E-60,1.3372200796383162E-60,1.1978996737712745E-60,1.0480701169867815E-60,8.92088934268614E-61,7.339708723043994E-61,5.7733915372094455E-61,4.253904366562745E-61,2.808727380392446E-61,1.4607538176252184E-61,2.282987736038985E-62,-8.747948035769866E-62,-1.8389657694676827E-61,-2.6586733621495323E-61,-3.3320780519138747E-61,-3.8606777938038865E-61,-4.248912340828681E-61,-4.503747581646232E-61,-4.634250991567593E-61,-4.651168268329628E-61,-4.566510101552102E-61,-4.393156832658728E-61,-4.1444875334458235E-61,-3.834038796742043E-61,-3.475197318863753E-61,-3.0809291845705736E-61,-2.6635476611572364E-61,-2.2345202857817966E-61,-1.8043151021704076E-61,-1.3822850790505518E-61,-9.76589029363951E-62,-5.94146749756376E-62,-2.4062561449929196E-62,7.954451516696897E-63,3.6313147048539496E-62,6.0803961096830495E-62,8.132309530890554E-62,9.786322119874793E-62,1.105031284002658E-61,1.193966539961172E-61,1.2476120862030658E-61,1.268661892885474E-61,1.2602153975325532E-61,1.2256668760699419E-61,1.168600543094123E-61,1.0926930065759967E-61,1.0016243674605397E-61,8.989989286807474E-62,7.882761669851965E-62,6.727123297407385E-62,5.553127515942041E-62,4.387947456805471E-62,3.2556071314991623E-62,2.1768093448551044E-62,1.1688535692886434E-62,2.456357412489515E-63,-5.822789399142578E-63,-1.307519724130635E-62,-1.9257203723156523E-62,-2.435285484733589E-62,-2.8371228705816573E-62,-3.134351396733743E-62,-3.3319932512536443E-62,-3.4366589180782845E-62,-3.4562324117984556E-62,-3.3995634935495898E-62,-3.2761727071832792E-62,-3.095974163905065E-62,-2.869020086143978E-62,-2.605270217937129E-62,-2.314388337422899E-62,-2.005567282366876E-62,-1.6873831345564379E-62,-1.3676785133077614E-62,-1.0534743095777155E-62,-7.509086551595384E-63,-4.6520146877626184E-63,-2.0064255308731198E-63,3.93990676667904E-64,2.5244708344015345E-63,4.36873749312981E-63,5.918423504371346E-63,7.172389728843109E-63,8.135962083540232E-63
2.6969348150039175E-05,4.14527699401587E-05,3.7990133014980555E-05,4.224661269488087E-05,2.3290645645128102E-05,1.4001430879803073E-05,-1.0201896144782194E-05,-1.6375938538462867E-05,-2.7807836553596333E-05,-2.2807057953357483E-05,-2.2290056274837866E-05,-1.0972848052948567E-05,-6.072416891534422E-06,-4.149788966323058E-07,4.283241431337005E-07,-2.8991862623283293E-08,1.3573534817489195E-06,-2.2831753795132657E-06,-1.9606941488084545E-06,-1.1778316502768092E-05,-1.492257236535424E-05,-2.8572299305553564E-05,-2.589115067748197E-05,-3.0566824063945125E-05,-1.3925755971887523E-05,-6.459450986773393E-06,1.7064900012188218E-05,2.0088567253526203E-05,3.1362531697573694E-05,2.287818735789479E-05,2.514618339825412E-05,1.2003023357609633E-05,1.0598975938167485E-05,-2.2467200874270627E-06,-6.157980093171411E-06,-1.5565843308682123E-05,-1.4834646898840336E-05,-1.3869907381433802E-05,-7.650883792043575E-06,-1.0767054570028562E-06,1.2476548207128798E-06,5.750124495590386E-06,4.733886232051277E-06,1.252840146434952E-05,1.1757530881994463E-05,1.9134823246762464E-05,8.154826456229126E-06,5.422224195564413E-06,-1.2654302560043106E-05,-1.4289265172954012E-05,-2.7732155302776452E-05,-2.052754442974219E-05,-2.294622234403077E-05,-7.396862846754114E-06,-6.544239518230114E-06,5.317938233363728E-06,4.62638406932319E-06,1.751004221588757E-05,2.1935281565002202E-05,2.815514130873051E-05,1.6639435406501074E-05,8.354358989223156E-07,-1.662222618117281E-05,-2.589035933512401E-05,-2.3261472291392718E-05,-1.7521629068847866E-05,-2.8888445491404083E-06,5.2778415186688525E-06,1.9364572729208622E-05,1.7769370671700286E-05,2.638314667513709E-05,2.296076609353397E-05,3.2896810103439833E-05,2.1450523328771824E-05,1.733128401574782E-05,-6.020645674864806E-06,-1.1184278906004093E-05,-2.2918617441998744E-05,-1.3020077247749627E-05,-1.3484903663825545E-05,1.4630918144493872E-07,3.2793081205419096E-06,1.231915181616762E-05,6.130816511152558E-06,2.5880313843474486E-06,-3.4752183428430236E-06,-3.5479384568311203E-06,-3.214845295194651E-06,-8.421631587064291E-06,-1.3240166921240368E-05,-2.358149642395223E-05,-2.389242651130719E-05,-3.0342634528136694E-05,-2.2230385971294075E-05,-2.0173261973977113E-05,-1.3194794177425641E-06,9.312045167709407E-07,1.2136726645655827E-05,4.531851702985763E-06,1.3416986790767875E-05
2.7144513828697408E-05,6.245059608607902E-05,4.6820875407475177E-05,5.763645251428485E-05,2.294899936426932E-05,1.2982642751258957E-05,-1.9850938160874E-05,-2.7750784385356357E-05,-3.489909188935684E-05,-2.7996577552777116E-05,-1.6299741421692864E-05,-1.5668614152889585E-05,-1.6766753927865167E-06,-9.452024426296379E-06,1.1746863375891878E-05,-1.642976465816532E-06,1.971931446067538E-05,-5.551301446073083E-06,1.1025287125202598E-05,-2.2877674881475216E-05,-4.161078527000901E-06,-3.297248340712521E-05,-6.689690486080496E-06,-2.899295132079089E-05,6.235818701324945E-07,-1.4494760100915425E-05,1.4940371752187E-05,4.428714319814622E-06,2.8406777634282145E-05,1.8838430277835397E-05,2.579368293079653E-05,8.117133138156221E-06,1.5547805970664122E-07,-1.0069773586921715E-05,-1.795799109067734E-05,-1.2489484882991806E-05,-1.8772085115059954E-05,-1.948193773633077E-06,-1.1569987424277259E-05,1.2594221063652845E-05,-1.7451225909306855E-06,2.320564673866375E-05,-8.284631710422332E-07,2.260308384508263E-05,-3.7623715361879836E-06,1.811358723028783E-05,-1.8124355198164638E-05,-5.210168458084517E-06,-3.763363906273836E-05,-1.6707646529377365E-05,-3.4741755246618864E-05,-8.783132754228153E-06,-1.5340829340902067E-05,9.79624308666221E-06,9.644917868899726E-06,2.45404703746247E-05,2.3597575813580605E-05,2.520228988131138E-05,2.6473436051454153E-05,1.6521497616131874E-05,1.6056528288470234E-05,-9.326976687213517E-06,-7.205411496969147E-06,-3.4786322982157514E-05,-1.8579457189945847E-05,-3.534408205598783E-05,1.6396839859330157E-06,-5.694176536828653E-06,3.410163965725401E-05,1.4615647821939238E-05,3.948824444653616E-05,9.167613490781744E-06,2.8323584982517423E-05,4.5211482353693457E-07,1.6681981358979077E-05,-6.9230543733681885E-06,7.243477878090347E-06,-6.257436765855912E-06,5.240270549966903E-06,-3.718275527158914E-06,9.856182157013289E-08,1.478195078031024E-06,3.0511074764240593E-06,8.847579841494626E-06,-5.076651108696312E-06,-4.875601836665144E-07,-2.1037000851577823E-05,-6.505009346382717E-06,-2.873988336891988E-05,-9.746893858799631E-06,-3.473763127360717E-05,-9.762270446186732E-06,-3.475607762564106E-05,-7.790843573447923E-06,-2.980792263131522E-05,3.0727782946469653E-06,-1.4531044844978619E-05,1.0361527637160532E-05,-1.1972864843140218E-05,8.68172447651445E-06
-2.677713136111333E-70,-2.418928062096022E-70,-2.1364657763152444E-70,-1.838962232920781E-70,-1.5344351553539043E-70,-1.2301794630876376E-70,-9.326895887024185E-71,-6.47607421727003E-71,-3.796942038211847E-71,-1.3282436881202797E-71,9.000093088107043E-72,2.866230459976368E-71,4.556803396427537E-71,5.965505620866787E-71,7.092836486389301E-71,7.945274248335886E-71,8.534485846285321E-71,8.876511509731919E-71,8.990944414089528E-71,8.90012351641909E-71,8.628355442756155E-71,8.201178946982805E-71,7.644683075562017E-71,6.9848878079555275E-71,6.24719364757744E-71,5.455904454331444E-71,4.6338257718557315E-71,3.801939038363414E-71,2.9791504004706833E-71,2.1821113892343685E-71,1.425107475281786E-71,7.200094983183903E-72,7.628216330189122E-73,-4.989567954195705E-72,-1.0008335701154612E-71,-1.4265783453713772E-71,-1.7753554926400781E-71,-2.0480707886902223E-71,-2.2471622945549134E-71,-2.376381158987186E-71,-2.4405681441072296E-71,-2.445431131085587E-71,-2.397328269932021E-71,-2.3030608083584875E-71,-2.1696789875944375E-71,-2.0043037437883242E-71,-1.8139663163868306E-71,-1.6054672519995164E-71,-1.3852557142196437E-71,-1.159329475280328E-71,-9.331554810092202E-72,-7.116104512258103E-72,-4.989406067069594E-72,-2.9873930273292655E-72,-1.1394109816337248E-72,5.316940317766103E-73,2.009357376016839E-72,3.2829667416827525E-72,4.347441287796095E-72,5.202738020394809E-72,5.853303919557969E-72,6.307491472481338E-72,6.576954131362422E-72,6.676036845854559E-72,6.621175275132976E-72,6.430315616446064E-72,6.122365244620423E-72,5.716682585796692E-72,5.232612889809362E-72,4.689074855459292E-72,4.1042014328274626E-72,3.495036602974396E-72,2.8772885389564164E-72,2.265138299132788E-72,1.6711021054760416E-72,1.1059443227291954E-72,5.786374812856794E-73,9.636507632046507E-74,-3.3543757665341295E-73,-7.130094515013896E-73,-1.0341620694660322E-72,-1.2981551210587436E-72,-1.505554584670112E-72,-1.658078290896964E-72,-1.7584336116629189E-72,-1.810151612360725E-72,-1.817421608503948E-72,-1.784929630338239E-72,-1.7177038334198533E-72,-1.6209694132867623E-72,-1.5000150998885428E-72,-1.3600728330310613E-72,-1.206211763026487E-72,-1.0432472889295522E-72,-8.756654466950909E-73,-7.075625964275179E-73,-5.4260003537953496E-73,-3.8397288398219143E-73,-2.3439235724269367E-73,-9.608034352803419E-74
3.2272994749336124E-05,3.412308881443595E-05,4.618603393405478E-05,3.603638106335795E-05,2.8504571004843665E-05,8.012006480375532E-06,-4.522565386626529E-06,-1.7453581891099897E-05,-2.257149339096083E-05,-2.3688950679451314E-05,-2.2526605668857055E-05,-1.330390107180281E-05,-9.971840202509045E-06,1.5490658213403231E-07,-3.6568902622103265E-06,2.2322967386103034E-06,-6.78269756161794E-06,-2.8152598104196274E-07,-9.001639711053372E-06,5.540009434748558E-07,-1.0295995073751456E-05,-6.889709439389496E-06,-2.248602565811607E-05,-1.6901193710109435E-05,-1.89100075415985E-05,2.9890574820690497E-06,1.1443184881043978E-05,2.6408420480076842E-05,2.2441175368296163E-05,2.2959567022040518E-05,1.35153657247123E-05,8.792535321217372E-06,3.055091514635795E-06,-1.5827958877225902E-06,-5.817131635772438E-06,-1.4613195175527033E-05,-1.4432705136227237E-05,-1.727910171591596E-05,-3.868157921010174E-06,-2.0389720930362663E-06,9.211697853362832E-06,1.0002336958079755E-06,8.361546746558709E-06,1.1689581873322336E-06,1.5419210637531156E-05,1.1422179544548879E-05,1.847992380226932E-05,2.1699021828827547E-07,-4.970118606405966E-06,-2.505283208247038E-05,-2.6459186059875147E-05,-3.355746791246057E-05,-2.1598108561529624E-05,-1.5075797141177923E-05,-1.4687601252223278E-06,4.618827439524128E-06,1.3002933677299807E-05,2.311007612202172E-05,3.147817374579333E-05,3.631193299076559E-05,2.153700130691187E-05,6.0546207997442355E-06,-1.8213662690741166E-05,-2.0693121694863615E-05,-2.633441846856999E-05,-1.0582163788795577E-05,-9.35705276832673E-06,8.846720175570107E-06,6.305472610510802E-06,1.9200579611471536E-05,1.5311782821072796E-05,3.117339268658838E-05,2.7644977169641984E-05,3.007439138941119E-05,8.526502329486339E-06,-3.19231150284672E-06,-2.151897332041764E-05,-2.063677151386695E-05,-2.007544675410814E-05,-1.1686628458444698E-05,-4.562267852662874E-06,4.012576217314265E-06,1.0015107990084741E-05,4.06894826820373E-06,6.951444688912695E-07,-8.39360937108936E-06,-3.990357334844832E-07,-1.8267469803226048E-06,5.27684731549074E-06,-9.171443133855555E-06,-9.513866911454715E-06,-2.4533093484183455E-05,-1.8291941020820486E-05,-2.5888432951945308E-05,-1.0234839067298711E-05,-9.129982089643182E-06,5.795370945534813E-06,-3.4181712102441785E-07,6.776881309295278E-06,3.651961765810465E-06
4.552903660489692E-05,4.7752512293671466E-05,5.965263029923277E-05,4.871458850543699E-05,3.894787214962715E-05,1.3351938809296214E-05,-5.315785900552554E-06,-2.2719667575823404E-05,-2.94140083798106E-05,-3.0185425453789928E-05,-2.8648618893955362E-05,-2.0299957694139758E-05,-1.86801361545344E-05,-9.104959411529656E-06,-1.1549204572791316E-05,-2.916674706017819E-06,-9.144772369582604E-06,5.190297238649468E-07,-5.578325423504568E-06,5.495010245861906E-06,-6.410793148143985E-06,-6.488918564155157E-06,-2.757518405109852E-05,-2.718485481569475E-05,-3.277258169537906E-05,-1.1292184371771166E-05,-1.1489213529524416E-06,1.700683142619105E-05,1.729485530154268E-05,2.329667465192655E-05,1.915524929916543E-05,1.7098255024425464E-05,9.704856119403745E-06,4.907312580106505E-07,-8.094896442777383E-06,-1.838430368953848E-05,-1.6429395021229057E-05,-1.6410879181580904E-05,-4.1488723699726346E-07,3.0675039552012312E-06,1.5344402312137313E-05,7.627928409675056E-06,1.6422062495415147E-05,1.1500162776146904E-05,2.760888439517251E-05,2.2056302550203918E-05,2.3965773725766686E-05,-1.5819965023758866E-06,-1.2922633570402308E-05,-3.6137470557326004E-05,-3.658402025468338E-05,-4.024728431764004E-05,-2.3987874536202732E-05,-1.4699645076249456E-05,-6.744664844073771E-08,6.2189957663574074E-06,1.5084590490729189E-05,2.5914092533604937E-05,3.496911996979432E-05,3.952690897949957E-05,2.235914586415144E-05,2.7608296944555998E-06,-2.555158737994527E-05,-2.97442484530558E-05,-3.418358737890141E-05,-1.4758347083605092E-05,-1.0115849340872761E-05,1.0058283350197698E-05,8.232739478619397E-06,2.3046014038499105E-05,2.1995805283781114E-05,3.990293329923005E-05,3.488006560114626E-05,3.364410075660776E-05,8.63755638966555E-06,-3.7296939244302326E-06,-2.0348401523904236E-05,-1.7800418120772528E-05,-1.8691690991680867E-05,-1.416697230797205E-05,-1.0866039148146499E-05,-4.405623284826675E-06,1.8347481076547274E-06,-1.2724254502009472E-06,-3.4874944810810994E-07,-6.0811091932784975E-06,3.0542067402528192E-06,5.783295730600208E-07,6.0236286417423535E-06,-1.0525822257917748E-05,-1.3613526316295639E-05,-3.2519591624682504E-05,-2.9499932499447918E-05,-3.841203380011074E-05,-2.114348934478824E-05,-1.6941945219486648E-05,2.106497296950501E-06,3.945530226274232E-07,1.2489408419352766E-05,1.499427717396906E-05
1.4864168882877167E-05,4.4831518994113695E-05,2.4152834123539257E-05,2.9135619678164557E-05,1.1317867813464139E-05,-9.487241139142531E-07,-6.4091840141749955E-06,-2.5202925930158098E-05,-6.261065710738025E-06,-2.6247211749904945E-05,7.164950538118791E-06,-2.6446014065305907E-05,1.1862548823904686E-05,-3.0742988033105606E-05,1.459812384183236E-05,-3.311035920169111E-05,1.5147590202347646E-05,-3.24939002132497E-05,2.0926274844548456E-05,-2.080408943218882E-05,2.7815840563678046E-05,-1.6609393507635703E-05,1.861021214184695E-05,-1.8509370807517614E-05,1.3598519248218103E-05,-9.800884063531519E-06,7.988905657013617E-06,-7.301581627705999E-06,1.3500376434777046E-06,5.422702805709527E-06,2.2456085786979464E-06,1.116233038319099E-05,-1.5379837583191867E-05,-2.173888388629694E-06,-3.890725663322735E-05,-4.4255922401148384E-06,-3.35529627122082E-05,2.311622852929108E-05,-1.0157324994707854E-05,4.074506157617503E-05,-1.003195301665388E-05,3.640601983592856E-05,-1.0443753313267974E-05,4.4571774364790644E-05,6.70404898305166E-06,5.02796676549966E-05,-9.388741587141209E-08,1.695013816517813E-05,-3.2966115096820796E-05,-2.0637620647374507E-05,-4.4015578318304545E-05,-2.622323411735255E-05,-2.600412812843881E-05,-1.656632682506075E-05,-1.8198929249271228E-06,-3.3045251126290714E-06,2.429489775637586E-05,8.14843432438995E-06,4.010484117147009E-05,5.296661347322417E-06,3.7199422895275446E-05,-1.6284369971699827E-05,1.4599143689814403E-05,-4.417775033154553E-05,-6.732207209239312E-07,-4.666320651062173E-05,1.1453524193505287E-05,-2.534760413042252E-05,2.9008514701118E-05,-8.137233626880567E-06,3.5986594130685544E-05,1.8304967917544095E-06,3.0103190179713818E-05,-1.7152078763222176E-06,1.1518616018074298E-05,-6.598229063024098E-06,1.142341875913495E-06,6.154292431119157E-07,-4.785235000636464E-06,5.7053801282106354E-06,-1.1520820316341867E-05,1.3193490890910095E-05,-1.2497719548622933E-05,2.5387132712939125E-05,-8.606890027218008E-06,3.577232967905907E-05,-8.777872173919804E-06,3.405452108153604E-05,-2.231775883269237E-05,1.7272565442205245E-05,-4.019084046580724E-05,5.403838013672048E-07,-4.978572988655039E-05,-7.585988901495965E-06,-4.621810756811873E-05,-7.012901902410299E-06,-3.259555086526588E-05,1.7593878603378493E-07,-1.4104304508987237E-05,5.657563200546862E-06
3.49795585927731E-05,5.050780991738178E-05,4.81150855151615E-05,5.102477988542687E-05,2.9194908883688036E-05,1.6682809106326017E-05,-1.1698795712043316E-05,-1.9860626136191374E-05,-3.5611081417595086E-05,-3.096372097772042E-05,-3.413236283624716E-05,-2.2179918219389597E-05,-1.9762447372682348E-05,-9.257896690128016E-06,-7.356262848740966E-06,-1.68549723463199E-06,6.130891133697764E-09,2.672908837839037E-06,5.680155932646811E-06,4.352965791174181E-06,2.008635547931119E-06,-1.2825548528241453E-05,-2.0727405855746647E-05,-3.2580013652716534E-05,-2.1981601503068042E-05,-1.4603192555827419E-05,8.307077832049408E-06,1.2597358433993727E-05,2.6692709748516985E-05,2.1640579846871144E-05,2.8296715585456624E-05,1.571887134972625E-05,1.4155562294674858E-05,-3.580931309760714E-06,-7.753174443382096E-06,-1.9865207881940903E-05,-1.5502603390113005E-05,-1.3895050329553696E-05,-7.994251095742247E-07,6.412213869753378E-06,1.2202787579210327E-05,1.2341783633306419E-05,1.1423878912551297E-05,1.5293011710705706E-05,1.6525827773376593E-05,2.149919627118346E-05,1.054926314865127E-05,1.8223085699782277E-06,-2.1189823818486044E-05,-2.9470717166578925E-05,-4.45273748281047E-05,-3.521197303068543E-05,-3.1375622804779E-05,-8.2319786098079E-06,-1.947040154045368E-06,1.543057181628391E-05,1.4217940958121517E-05,2.5973455979532056E-05,2.505025641244696E-05,3.222716573452084E-05,1.853532588616737E-05,3.9393293168182175E-06,-2.0309504290094734E-05,-3.251108119255591E-05,-3.593293090822825E-05,-2.6166814254086953E-05,-9.940712195599027E-06,4.383712522071896E-06,1.928051247999087E-05,2.4461794945957712E-05,3.598521198644935E-05,3.596056220888662E-05,4.1918349816987525E-05,2.6260279618886438E-05,1.666740948920932E-05,-8.770429047752264E-06,-1.3459028409571866E-05,-2.4474408292168625E-05,-1.560398337900673E-05,-2.1349386674423595E-05,-9.864379034682956E-06,-9.076308125693022E-06,4.09990936952992E-06,7.105211788833755E-07,5.684408302072188E-06,2.2616455695801626E-06,8.688723913853755E-06,8.881374589884647E-06,6.816158471659588E-06,-2.3453802054096367E-06,-1.361064639771481E-05,-2.1759406351631657E-05,-3.30944961617901E-05,-3.4069316578086745E-05,-3.364245029889447E-05,-1.6182368834266445E-05,-1.0354235379732738E-05,2.812862268912626E-06,-4.6974035351687314E-08,1.4025523266038215E-05
6.513952229875047E-64,6.842759264994485E-64,6.989022190805439E-64,6.9694901019523E-64,6.802642596243281E-64,6.508105014959588E-64,6.106102816035725E-64,5.616962516785562E-64,5.060664834172643E-64,4.456453918295866E-64,3.8225049476115624E-64,3.175650855872773E-64,2.5311676089586766E-64,1.9026162576933394E-64,1.3017389685739921E-64,7.384053817160588E-65,2.206049638680312E-65,-2.455194899791247E-65,-6.556024072432227E-65,-1.0069554457744916E-64,-1.2984424304702831E-64,-1.530334631288665E-64,-1.704151627356872E-64,-1.8224927396125376E-64,-1.888863673890748E-64,-1.9075026134058408E-64,-1.8832095496158104E-64,-1.8211821582670983E-64,-1.726861026848622E-64,-1.605786533471637E-64,-1.4634691768056504E-64,-1.305274672234985E-64,-1.136324669509582E-64,-9.614135190313637E-65,-7.849411232645917E-65,-6.108615608789007E-65,-4.426468670573935E-65,-2.832650955818764E-65,-1.3517157732157268E-65,-3.121250225874261E-68,1.198631856836657E-65,2.2437710666617775E-65,3.1269466473232893E-65,3.846864538207417E-65,4.40587229573288E-65,4.80951205853745E-65,5.066053710379586E-65,5.186020408049259E-65,5.181717479858074E-65,5.066774429120141E-65,4.855708435619253E-65,4.563516372801884E-65,4.205300982514449E-65,3.7959355020927242E-65,3.3497697462453316E-65,2.8803794302104445E-65,2.400359398855854E-65,1.921160412534839E-65,1.4529682445841182E-65,1.0046230737194427E-65,5.835765102548101E-66,1.9588307799141029E-66,-1.5377741898221713E-66,-4.6205048860787485E-66,-7.268345073987782E-66,-9.471893039598903E-66,-1.1232297964980363E-65,-1.2560085931318358E-65,-1.3473912746724748E-65,-1.3999278312521515E-65,-1.4167234284957127E-65,-1.4013113473646992E-65,-1.357530585370618E-65,-1.2894102359071537E-65,-1.201062386524502E-65,-1.096584904666252E-65,-9.799751182985835E-66,-8.550550555043159E-66,-7.254085869211338E-66,-5.943305222165845E-66,-4.6478744989162097E-66,-3.393898808518041E-66,-2.2037506168778552E-66,-1.0959966389247443E-66,-8.541429946885673E-68,8.169123473265718E-67,1.6034279523876127E-66,2.2698834797379345E-66,2.815067145103048E-66,3.240499538357173E-66,3.550103368754579E-66,3.7498576788776607E-66,3.84744563370246E-66,3.8519041369473686E-66,3.773282588744465E-66,3.622317105909857E-66,3.410125505928445E-66,3.147927333069176E-66,2.846792202014872E-66,2.517418770391003E-66
-2.5468832248130645E-05,-2.909129065948362E-05,-1.2694456383203765E-05,-8.730978483714695E-06,1.1715049779798134E-05,1.6593452587598145E-05,3.1041194141331934E-05,2.82288752817538E-05,2.9626295518596936E-05,1.0989247847193252E-05,-6.086847297538349E-06,-2.7860640431168364E-05,-3.5245975145215016E-05,-3.278809523585066E-05,-2.2016957429719874E-05,-7.265453799905977E-06,3.9652144305528955E-06,1.6908407241488166E-05,1.82449942240594E-05,2.7307112479221583E-05,2.5944694332361335E-05,3.277194511869002E-05,1.9996100182148472E-05,1.4767302325210557E-05,-7.0543153509421975E-06,-1.0717605255435481E-05,-2.3669224022099658E-05,-1.5552124789967537E-05,-1.895935971175822E-05,-6.146033281050074E-06,-6.701941668607223E-06,3.5573508686936515E-06,-1.0301070051716084E-06,3.168833084588872E-06,1.2161265479751038E-06,7.518403303072414E-06,5.950483484848402E-06,1.1969808052793475E-06,-8.82437573549404E-06,-1.9142329448877125E-05,-1.543276160036892E-05,-7.1020744946910325E-06,9.326832167018386E-06,9.473154353696427E-06,1.3266005739456209E-05,2.4191626363310265E-06,6.641005999142523E-06,2.090296632577063E-06,1.3931864539016844E-05,6.199074037620704E-06,5.5986308645771236E-06,-1.495193529156888E-05,-1.8294139601168148E-05,-2.8968743295318E-05,-2.0955536994608338E-05,-2.041705731096909E-05,-4.70829096471447E-06,3.2841160294480754E-06,1.6943503185992707E-05,1.8981247526852503E-05,1.886988170109516E-05,1.10292597962952E-05,6.275205851569179E-07,-4.977994128230172E-06,-6.039087241761226E-06,4.724418276356181E-06,9.190569844304527E-06,1.9904297897138297E-05,1.7070561991358233E-05,2.4052292916281467E-05,1.7902228187078647E-05,2.4167226049950853E-05,1.2306939042182836E-05,1.1619221698486853E-05,-4.4204516001412555E-06,-3.4988073530235206E-06,-1.7042308816126714E-05,-1.5893150065408384E-05,-2.3148677371734627E-05,-1.2593613829865083E-05,-1.1997122796106015E-05,-6.594001131225374E-06,-1.5004114768646139E-05,-1.8297390714658718E-05,-2.0590154399055103E-05,-1.3106087598675105E-05,-1.5317771597793941E-06,8.596047022537682E-06,1.715382954077246E-05,1.3822037250422266E-05,1.237947122255904E-05,-1.9652900768910952E-06,-7.036622605380284E-06,-1.9998132931951522E-05,-1.3381511786999271E-05,-1.3083662383493471E-05,6.120524864387442E-06,1.0206871396080351E-05,2.440583326647571E-05,1.7897592755717338E-05
